fecha,trimestre,accion,activo_total,pasivo_corriente,activo_corriente,activo_tangible,ingreso_neto,p_vl,resultado_bruto,ebitda,ciclo_operativo,capital_trabajo,gastos_admin,costo_ventas,plazo_proveedor,inventario,pasivo_total,cuentas_xcobrar,cuentas_xpagar,utilidad_neta
2002-07-01,3T2002,Besalco S.A. Ord,85674866,25407965,42833090,27193174,43479020,0.6799305244,4771745,6680780,177.22427418,17425125,0,38707275,0,13666479,0,18347632,3409122,655296
2002-10-01,4T2002,Besalco S.A. Ord,92532564,29010371,45282571,27398567,61244036,0.70161089783,7989353,5196872,209.08934233,16272200,0,53254683,0,13204028,0,20385847,3481887,808883
2003-01-01,1T2003,Besalco S.A. Ord,95065684,24024016,43330361,27601161,12180021,0.63783799926,1650035,4121810,186.74376701,19306345,0,10529986,0,13589820,0,15959697,3386688,704610
2003-04-01,2T2003,Besalco S.A. Ord,98929881,25762928,46538047,27705733,26685715,0.57441477068,4350646,5198060,205.1826488,20775119,0,22335069,0,16243694,0,16033588,3089565,1252114
2003-07-01,3T2003,Besalco S.A. Ord,106847872,30957507,52163248,28896791,47731244,0.61422374986,7934878,7083633,223.15828306,21205741,0,39796366,0,19618697,0,16955225,4393053,2230897
2003-10-01,4T2003,Besalco S.A. Ord,112177325,35774413,56347320,28817477,72503281,0.67225949869,9316520,7082160,195.29394762,20572907,0,63186761,0,19592927,0,16850021,8717083,3587235
2004-01-01,1T2004,Besalco S.A. Ord,115074015,37556397,56158591,29993326,25444248,0.70619691675,2887744,8070616,177.52489246,18602194,0,22556504,0,20592447,0,18812015,6934875,1095147
2004-04-01,2T2004,Besalco S.A. Ord,140130083,44848669,67785846,43617452,43210471,0.84665699962,5715205,8011488,180.24490488,22937177,0,37495266,0,20669951,0,21086688,11272615,2205296
2004-04-01,2T2004,Salfacorp S.A. Ord,91717705,43304664,68108469,9550986,84410815,0,9286639,0,0,24803805,0,75124176,0,23585668,0,32804069,336427,2563934
2004-07-01,3T2004,Besalco S.A. Ord,154537948,69135144,87099618,37909634,70835870,0.95765023034,7647496,7092082,204.35872551,17964474,0,63188374,0,21855722,0,30138069,15025005,3552526
2004-07-01,3T2004,Salfacorp S.A. Ord,94212757,41591773,69425909,9713810,131411978,0,13803692,0,0,27834136,0,117608286,0,22735697,0,37712298,23966,3606210
2004-10-01,4T2004,Besalco S.A. Ord,157352346,59068385,72194610,36156857,112324306,1.1104976558,12630526,9478789,171.03490382,13126225,0,99693780,0,21208339,0,29469644,6342883,6107074
2004-10-01,4T2004,Salfacorp S.A. Ord,97569557,25636422,71006838,9689865,185608605,1.7544023525,19517105,8242030,119.37621179,45370416,0,166091500,0,24812216,0,33820069,23967,5357541
